"team_id","league_id","abbr","team_concat","name","location","conf","div","lat","lon","weather"
59047,5,PENN,CFB_PENN,Penn,"Philadelphia, PA",FCS,IVY,39.950000,-75.190000,1
59048,5,HOW,CFB_HOW,Howard,"Washington, DC",FCS,MEAC,38.925000,-77.021000,1
59049,5,NCCU,CFB_NCCU,NC Central,"Durham, NC",FCS,MEAC,35.974000,-78.897000,1
59050,5,NORF,CFB_NORF,Norfolk St,"Norfolk, VA",FCS,MEAC,36.847000,-76.260000,1
59051,5,MORG,CFB_MORG,Morgan St,"Baltimore, MD",FCS,MEAC,39.344000,-76.583000,1
59052,5,SCST,CFB_SCST,SC State,"Orangeburg, SC",FCS,MEAC,33.499000,-80.845000,1
59053,5,DSU,CFB_DSU,Delaware St,"Dover, DE",FCS,MEAC,39.189000,-75.543000,1
59054,5,INST,CFB_INST,Indiana St,"Terre Haute, IN",FCS,MVFC,39.475000,-87.367000,1
59055,5,ILST,CFB_ILST,Illinois St,"Normal, IL",FCS,MVFC,40.513000,-88.997000,1
59056,5,MUR,CFB_MUR,Murray St,"Murray, KY",FCS,MVFC,36.622000,-88.318000,1
59057,5,UND,CFB_UND,North Dakota,"Grand Forks, ND",FCS,MVFC,47.911000,-97.091000,1
59058,5,NDSU,CFB_NDSU,N Dakota St,"Fargo, ND",FCS,MVFC,46.903000,-96.800000,1
59059,5,UNI,CFB_UNI,Northern Iowa,"Cedar Falls, IA",FCS,MVFC,42.516000,-92.467000,1
59060,5,SDAK,CFB_SDAK,South Dakota,"Vermillion, SD",FCS,MVFC,42.791000,-96.928000,1
59061,5,SDST,CFB_SDST,S Dakota St,"Brookings, SD",FCS,MVFC,44.321000,-96.780000,1
59062,5,SIU,CFB_SIU,S Illinois,"Carbondale, IL",FCS,MVFC,37.709000,-89.216000,1
59063,5,YSU,CFB_YSU,Youngstown St,"Youngstown, OH",FCS,MVFC,41.109000,-80.650000,1
59064,5,RMU,CFB_RMU,Robert Morris,"Moon Township, PA",FCS,NEC,40.521000,-80.216000,1
